shipment_id,origin,destination,pickup_date,delivery_date,status,weight_kg,distance_km,expected_transit_hours,transit_hours,delay_hours,delivery_performance,pickup_day_of_week,transit_efficiency,transit_outlier,carrier_Blue Dart,carrier_Delhivery,carrier_Dhl,carrier_Fedex,distance_scaled
S1001,Mumbai,Hyderabad,2026-01-01,2026-01-01,Pending,378.5,1226,23.43,0.0,-23.43,Early,Thursday,inf,False,False,True,False,False,0.6648745519713262
S1002,Nashik,Hyderabad,2026-01-03,2026-01-03,Delayed,56.05,1559,28.98,0.0,-28.98,Early,Saturday,inf,False,False,False,True,False,0.8637992831541219
S1003,Nagpur,Bengaluru,2026-01-05,2026-01-06,Delivered,451.76,960,19.0,24.0,5.0,Delayed,Monday,40.0,False,False,True,False,False,0.505973715651135
S1004,Mumbai,Delhi,2026-01-07,2026-01-07,Pending,255.1,1394,26.23,0.0,-26.23,Early,Wednesday,inf,False,True,False,False,False,0.7652329749103942
S1005,Mumbai,Bengaluru,2026-01-09,2026-01-09,Delivered,414.1,1230,23.5,0.0,-23.5,Early,Friday,inf,False,True,False,False,False,0.6672640382317802
S1006,Pune,Delhi,2026-01-11,2026-01-11,Delivered,266.21,1195,22.92,0.0,-22.92,Early,Sunday,inf,False,True,False,False,False,0.6463560334528077
S1007,Nashik,Ahmedabad,2026-01-13,2026-01-13,Pending,448.28,1144,22.07,0.0,-22.07,Early,Tuesday,inf,False,False,True,False,False,0.6158900836320191
S1008,Nashik,Hyderabad,2026-01-15,2026-01-16,Delivered,197.65,1738,31.97,24.0,-7.969999999999999,Early,Thursday,72.41666666666667,False,False,False,True,False,0.9707287933094385
S1009,Pune,Ahmedabad,2026-01-17,2026-01-17,Delayed,10.36,221,6.68,0.0,-6.68,Early,Saturday,inf,False,False,False,True,False,0.06451612903225806
S1010,Pune,Delhi,2026-01-19,2026-01-19,Delivered,453.16,566,12.43,0.0,-12.43,Early,Monday,inf,False,False,True,False,False,0.27060931899641577
S1011,Nashik,Delhi,2026-01-21,2026-01-22,Pending,50.19,1338,25.3,24.0,-1.3000000000000007,Early,Wednesday,55.75,False,True,False,False,False,0.7317801672640383
S1012,Nashik,Ahmedabad,2026-01-23,2026-01-23,Pending,163.06,430,10.17,0.0,-10.17,Early,Friday,inf,False,True,False,False,False,0.18936678614097968
S1013,Nagpur,Delhi,2026-01-25,2026-01-26,Pending,475.28,1582,29.37,24.0,-5.370000000000001,Early,Sunday,65.91666666666667,False,False,False,True,False,0.8775388291517324
S1014,Nagpur,Ahmedabad,2026-01-27,2026-01-27,Delivered,475.55,187,6.12,0.0,-6.12,Early,Tuesday,inf,False,True,False,False,False,0.04420549581839905
S1015,Pune,Hyderabad,2026-01-29,2026-01-29,Pending,288.85,1496,27.93,0.0,-27.93,Early,Thursday,inf,False,False,False,False,True,0.8261648745519713
S1016,Nagpur,Ahmedabad,2026-01-31,2026-02-01,Pending,317.76,1223,23.38,24.0,0.620000000000001,On-time,Saturday,50.958333333333336,False,False,False,True,False,0.6630824372759857
S1017,Mumbai,Hyderabad,2026-02-02,2026-02-02,Delivered,226.98,971,19.18,0.0,-19.18,Early,Monday,inf,False,True,False,False,False,0.5125448028673835
S1018,Nagpur,Ahmedabad,2026-02-04,2026-02-05,Delayed,150.14,1787,32.78,24.0,-8.780000000000001,Early,Wednesday,74.45833333333333,False,False,False,True,False,1.0
S1019,Nagpur,Delhi,2026-02-06,2026-02-06,Delivered,167.69,230,6.83,0.0,-6.83,Early,Friday,inf,False,False,False,False,True,0.06989247311827956
S1020,Mumbai,Ahmedabad,2026-02-08,2026-02-09,Pending,337.9,1785,32.75,24.0,-8.75,Early,Sunday,74.375,False,False,False,True,False,0.998805256869773
S1021,Pune,Delhi,2026-02-10,2026-02-11,Pending,377.43,1432,26.87,24.0,-2.870000000000001,Early,Tuesday,59.666666666666664,False,False,False,False,True,0.7879330943847073
S1022,Mumbai,Ahmedabad,2026-02-12,2026-02-12,Delivered,396.83,869,17.48,0.0,-17.48,Early,Thursday,inf,False,False,False,True,False,0.45161290322580644
S1023,Nagpur,Ahmedabad,2026-02-14,2026-02-14,Delayed,395.86,443,10.38,0.0,-10.38,Early,Saturday,inf,False,False,False,True,False,0.1971326164874552
S1024,Pune,Bengaluru,2026-02-16,2026-02-17,Pending,50.15,1615,29.92,24.0,-5.920000000000002,Early,Monday,67.29166666666667,False,False,False,False,True,0.8972520908004779
S1025,Nagpur,Delhi,2026-02-18,2026-02-19,Pending,249.74,1537,28.62,24.0,-4.620000000000001,Early,Wednesday,64.04166666666667,False,False,True,False,False,0.8506571087216248
S1026,Mumbai,Bengaluru,2026-02-20,2026-02-21,Pending,33.49,905,18.08,24.0,5.920000000000002,Delayed,Friday,37.708333333333336,False,False,False,True,False,0.4731182795698925
S1027,Mumbai,Delhi,2026-02-22,2026-02-22,Delivered,277.02,485,11.08,0.0,-11.08,Early,Sunday,inf,False,False,False,True,False,0.2222222222222222
S1028,Nagpur,Bengaluru,2026-02-24,2026-02-25,Pending,223.56,1315,24.92,24.0,-0.9200000000000017,Early,Tuesday,54.791666666666664,False,True,False,False,False,0.7180406212664278
S1029,Nashik,Hyderabad,2026-02-26,2026-02-28,Delayed,444.41,1055,20.58,48.0,27.42,Delayed,Thursday,21.979166666666668,False,False,False,True,False,0.5627240143369175
S1030,Nashik,Ahmedabad,2026-02-28,2026-02-28,Pending,178.7,376,9.27,0.0,-9.27,Early,Saturday,inf,False,True,False,False,False,0.15710872162485065
S1032,Mumbai,Delhi,2026-03-04,2026-03-04,Delayed,75.78,559,12.32,0.0,-12.32,Early,Wednesday,inf,False,False,False,False,True,0.26642771804062126
S1033,Nashik,Ahmedabad,2026-03-06,2026-03-06,Pending,381.95,1437,26.95,0.0,-26.95,Early,Friday,inf,False,False,False,False,True,0.7909199522102748
S1034,Nashik,Delhi,2026-03-08,2026-03-08,Delivered,311.02,121,5.02,0.0,-5.02,Early,Sunday,inf,False,False,True,False,False,0.0047789725209080045
S1035,Nagpur,Delhi,2026-03-10,2026-03-10,Delivered,55.06,352,8.87,0.0,-8.87,Early,Tuesday,inf,False,False,False,False,True,0.14277180406212664
S1036,Nagpur,Bengaluru,2026-03-12,2026-03-12,Delivered,46.63,847,17.12,0.0,-17.12,Early,Thursday,inf,False,False,True,False,False,0.43847072879330945
S1037,Nashik,Delhi,2026-03-14,2026-03-14,Delayed,351.98,956,18.93,0.0,-18.93,Early,Saturday,inf,False,False,True,False,False,0.503584229390681
S1038,Nagpur,Hyderabad,2026-03-16,2026-03-16,Pending,41.02,1684,31.07,0.0,-31.07,Early,Monday,inf,False,False,True,False,False,0.9384707287933094
S1039,Nagpur,Hyderabad,2026-03-18,2026-03-18,Delivered,411.82,574,12.57,0.0,-12.57,Early,Wednesday,inf,False,False,False,False,True,0.2753882915173238
S1040,Pune,Ahmedabad,2026-03-20,2026-03-21,Delayed,354.59,1182,22.7,24.0,1.3000000000000007,On-time,Friday,49.25,False,True,False,False,False,0.6385902031063322
S1042,Mumbai,Ahmedabad,2026-03-24,2026-03-25,Delayed,46.99,1599,29.65,24.0,-5.649999999999999,Early,Tuesday,66.625,False,False,False,True,False,0.8876941457586619
S1043,Nagpur,Hyderabad,2026-03-26,2026-03-26,Delivered,493.39,799,16.32,0.0,-16.32,Early,Thursday,inf,False,False,False,False,True,0.40979689366786143
S1044,Nagpur,Delhi,2026-03-28,2026-03-29,Delivered,190.26,1075,20.92,24.0,3.0799999999999983,Delayed,Saturday,44.791666666666664,False,False,True,False,False,0.5746714456391876
S1045,Nashik,Delhi,2026-03-30,2026-03-30,Delivered,188.47,289,7.82,0.0,-7.82,Early,Monday,inf,False,False,True,False,False,0.10513739545997611
S1046,Mumbai,Ahmedabad,2026-04-01,2026-04-01,Delayed,407.34,1057,20.62,0.0,-20.62,Early,Wednesday,inf,False,False,False,True,False,0.5639187574671446
S1047,Nagpur,Hyderabad,2026-04-03,2026-04-04,Delayed,473.89,786,16.1,24.0,7.899999999999999,Delayed,Friday,32.75,False,True,False,False,False,0.4020310633213859
S1048,Nagpur,Delhi,2026-04-05,2026-04-05,Delivered,493.07,1057,20.62,0.0,-20.62,Early,Sunday,inf,False,True,False,False,False,0.5639187574671446
S1049,Pune,Ahmedabad,2026-04-07,2026-04-07,Delayed,377.92,662,14.03,0.0,-14.03,Early,Tuesday,inf,False,True,False,False,False,0.3279569892473118
S1050,Nagpur,Hyderabad,2026-04-09,2026-04-10,Delivered,191.25,1690,31.17,24.0,-7.170000000000002,Early,Thursday,70.41666666666667,False,False,True,False,False,0.9420549581839904
S1052,Pune,Bengaluru,2026-04-13,2026-04-13,Pending,389.69,931,18.52,0.0,-18.52,Early,Monday,inf,False,False,True,False,False,0.4886499402628435
S1053,Nashik,Delhi,2026-04-15,2026-04-16,Delayed,281.41,1628,30.13,24.0,-6.129999999999999,Early,Wednesday,67.83333333333333,False,False,False,False,True,0.9050179211469535
S1054,Nagpur,Bengaluru,2026-04-17,2026-04-17,Delivered,214.99,1254,23.9,0.0,-23.9,Early,Friday,inf,False,False,False,True,False,0.6816009557945042
S1055,Pune,Hyderabad,2026-04-19,2026-04-19,Delivered,453.65,1608,29.8,0.0,-29.8,Early,Sunday,inf,False,False,True,False,False,0.8930704898446834
S1056,Mumbai,Bengaluru,2026-04-21,2026-04-21,Delayed,60.04,746,15.43,0.0,-15.43,Early,Tuesday,inf,False,False,False,True,False,0.3781362007168459
S1057,Nashik,Bengaluru,2026-04-23,2026-04-23,Pending,248.85,120,5.0,0.0,-5.0,Early,Thursday,inf,False,False,False,True,False,0.004181600955794504
S1058,Mumbai,Hyderabad,2026-04-25,2026-04-25,Pending,10.62,940,18.67,0.0,-18.67,Early,Saturday,inf,False,True,False,False,False,0.494026284348865
S1059,Mumbai,Ahmedabad,2026-04-27,2026-04-27,Delivered,236.99,266,7.43,0.0,-7.43,Early,Monday,inf,False,False,False,False,True,0.0913978494623656
S1060,Pune,Bengaluru,2026-04-29,2026-04-30,Delayed,32.87,1397,26.28,24.0,-2.280000000000001,Early,Wednesday,58.208333333333336,False,False,True,False,False,0.7670250896057348
S1061,Nagpur,Ahmedabad,2026-05-01,2026-05-01,Pending,63.81,487,11.12,0.0,-11.12,Early,Friday,inf,False,True,False,False,False,0.22341696535244923
S1062,Pune,Bengaluru,2026-05-03,2026-05-03,Delayed,63.18,700,14.67,0.0,-14.67,Early,Sunday,inf,False,True,False,False,False,0.35065710872162487
S1063,Pune,Ahmedabad,2026-05-05,2026-05-05,Delayed,326.36,415,9.92,0.0,-9.92,Early,Tuesday,inf,False,False,True,False,False,0.18040621266427717
S1064,Pune,Hyderabad,2026-05-07,2026-05-07,Delivered,374.29,113,4.88,0.0,-4.88,Early,Thursday,inf,False,False,False,True,False,0.0
S1065,Pune,Bengaluru,2026-05-09,2026-05-09,Pending,293.77,341,8.68,0.0,-8.68,Early,Saturday,inf,False,True,False,False,False,0.13620071684587814
S1066,Nashik,Hyderabad,2026-05-11,2026-05-11,Delivered,481.28,876,17.6,0.0,-17.6,Early,Monday,inf,False,False,False,True,False,0.45579450418160095
S1067,Nagpur,Bengaluru,2026-05-13,2026-05-13,Pending,190.56,1469,27.48,0.0,-27.48,Early,Wednesday,inf,False,False,False,False,True,0.8100358422939068
S1068,Mumbai,Hyderabad,2026-05-15,2026-05-15,Pending,146.43,664,14.07,0.0,-14.07,Early,Friday,inf,False,False,False,True,False,0.3291517323775388
S1069,Mumbai,Hyderabad,2026-05-17,2026-05-17,Pending,434.96,997,19.62,0.0,-19.62,Early,Sunday,inf,False,False,False,False,True,0.5280764635603346
S1070,Nagpur,Bengaluru,2026-05-19,2026-05-20,Pending,115.68,1463,27.38,24.0,-3.379999999999999,Early,Tuesday,60.958333333333336,False,False,False,True,False,0.8064516129032258
S1071,Mumbai,Bengaluru,2026-05-21,2026-05-21,Pending,481.8,191,6.18,0.0,-6.18,Early,Thursday,inf,False,True,False,False,False,0.04659498207885305
S1072,Nagpur,Bengaluru,2026-05-23,2026-05-24,Delayed,11.02,1490,27.83,24.0,-3.8299999999999983,Early,Saturday,62.083333333333336,False,True,False,False,False,0.8225806451612904
S1073,Mumbai,Delhi,2026-05-25,2026-05-26,Delivered,485.09,1055,20.58,24.0,3.4200000000000017,Delayed,Monday,43.958333333333336,False,False,False,False,True,0.5627240143369175
S1074,Pune,Ahmedabad,2026-05-27,2026-05-28,Delayed,26.36,1578,29.3,24.0,-5.300000000000001,Early,Wednesday,65.75,False,False,True,False,False,0.8751493428912783
S1075,Mumbai,Delhi,2026-05-29,2026-05-30,Pending,446.12,1551,28.85,24.0,-4.850000000000001,Early,Friday,64.625,False,False,False,False,True,0.8590203106332138
S1076,Nagpur,Delhi,2026-05-31,2026-05-31,Delivered,266.21,608,13.13,0.0,-13.13,Early,Sunday,inf,False,False,False,False,True,0.2956989247311828
S1077,Nagpur,Hyderabad,2026-06-02,2026-06-02,Pending,496.52,875,17.58,0.0,-17.58,Early,Tuesday,inf,False,False,False,True,False,0.4551971326164875
S1078,Nagpur,Bengaluru,2026-06-04,2026-06-04,Delivered,41.53,134,5.23,0.0,-5.23,Early,Thursday,inf,False,False,False,True,False,0.012544802867383513
S1079,Nagpur,Ahmedabad,2026-06-06,2026-06-06,Delayed,279.16,305,8.08,0.0,-8.08,Early,Saturday,inf,False,False,False,False,True,0.11469534050179211
S1080,Nagpur,Hyderabad,2026-06-08,2026-06-08,Delivered,484.8,1204,23.07,0.0,-23.07,Early,Monday,inf,False,True,False,False,False,0.6517323775388292
S1081,Nashik,Delhi,2026-06-10,2026-06-11,Delivered,263.93,1685,31.08,24.0,-7.079999999999998,Early,Wednesday,70.20833333333333,False,False,False,True,False,0.9390681003584229
S1082,Nashik,Bengaluru,2026-06-12,2026-06-13,Delivered,316.55,1511,28.18,24.0,-4.18,Early,Friday,62.958333333333336,False,False,True,False,False,0.8351254480286738
S1083,Mumbai,Hyderabad,2026-06-14,2026-06-14,Delivered,349.4,1125,21.75,0.0,-21.75,Early,Sunday,inf,False,False,False,True,False,0.6045400238948626
S1084,Nagpur,Bengaluru,2026-06-16,2026-06-17,Delivered,230.0,1121,21.68,24.0,2.3200000000000003,Delayed,Tuesday,46.708333333333336,False,False,False,True,False,0.6021505376344086
S1085,Mumbai,Hyderabad,2026-06-18,2026-06-19,Pending,315.64,1513,28.22,24.0,-4.219999999999999,Early,Thursday,63.041666666666664,False,False,True,False,False,0.8363201911589009
S1086,Nagpur,Bengaluru,2026-06-20,2026-06-21,Delivered,294.24,665,14.08,24.0,9.92,Delayed,Saturday,27.708333333333332,False,False,False,False,True,0.32974910394265233
S1087,Nagpur,Delhi,2026-06-22,2026-06-22,Delivered,451.07,1229,23.48,0.0,-23.48,Early,Monday,inf,False,False,True,False,False,0.6666666666666666
S1088,Nashik,Ahmedabad,2026-06-24,2026-06-25,Delayed,27.5,1600,29.67,24.0,-5.670000000000002,Early,Wednesday,66.66666666666667,False,False,False,False,True,0.8882915173237754
S1089,Nashik,Delhi,2026-06-26,2026-06-26,Delivered,144.08,802,16.37,0.0,-16.37,Early,Friday,inf,False,False,False,False,True,0.4115890083632019
S1090,Pune,Ahmedabad,2026-06-28,2026-06-28,Delayed,475.45,501,11.35,0.0,-11.35,Early,Sunday,inf,False,False,False,False,True,0.23178016726403824
S1091,Nashik,Bengaluru,2026-06-30,2026-07-01,Pending,445.68,829,16.82,24.0,7.18,Delayed,Tuesday,34.541666666666664,False,False,True,False,False,0.42771804062126645
S1092,Pune,Hyderabad,2026-07-02,2026-07-03,Delivered,230.55,1679,30.98,24.0,-6.98,Early,Thursday,69.95833333333333,False,False,False,False,True,0.9354838709677419
S1093,Pune,Delhi,2026-07-04,2026-07-04,Delayed,311.97,261,7.35,0.0,-7.35,Early,Saturday,inf,False,True,False,False,False,0.0884109916367981
S1094,Pune,Ahmedabad,2026-07-06,2026-07-06,Delayed,142.3,301,8.02,0.0,-8.02,Early,Monday,inf,False,False,True,False,False,0.11230585424133811
S1095,Pune,Delhi,2026-07-08,2026-07-09,Pending,98.12,1095,21.25,24.0,2.75,Delayed,Wednesday,45.625,False,True,False,False,False,0.5866188769414575
S1096,Pune,Ahmedabad,2026-07-10,2026-07-10,Delivered,234.53,369,9.15,0.0,-9.15,Early,Friday,inf,False,False,False,False,True,0.15292712066905614
S1097,Mumbai,Delhi,2026-07-12,2026-07-12,Delivered,179.91,915,18.25,0.0,-18.25,Early,Sunday,inf,False,False,False,True,False,0.47909199522102747
S1098,Nashik,Ahmedabad,2026-07-14,2026-07-14,Delayed,293.91,1394,26.23,0.0,-26.23,Early,Tuesday,inf,False,False,False,False,True,0.7652329749103942
S1099,Pune,Ahmedabad,2026-07-16,2026-07-16,Delivered,43.48,555,12.25,0.0,-12.25,Early,Thursday,inf,False,True,False,False,False,0.2640382317801673
S1100,Nagpur,Bengaluru,2026-07-18,2026-07-19,Delayed,487.33,1585,29.42,24.0,-5.420000000000002,Early,Saturday,66.04166666666667,False,True,False,False,False,0.8793309438470729
